scenario,step,trees_mean,trees_std,invasive_mean,invasive_std
baseline,0,20808.0,0.0,0.06447581699346405,0.0
baseline,1,22289.0,0.0,0.09562995851595538,0.0
baseline,2,21790.0,0.0,0.12263619093602458,0.0
baseline,3,21507.0,0.0,0.14597596321651446,0.0
baseline,4,21176.0,0.0,0.1660975824170793,0.0
baseline,5,20978.0,0.0,0.1834292205147616,0.0
baseline,6,20780.0,0.0,0.19833686900464603,0.0
baseline,7,20558.0,0.0,0.21114768369251904,0.0
baseline,8,20448.0,0.0,0.22214470833541863,0.0
baseline,9,20320.0,0.0,0.23158230542971406,0.0
baseline,10,20229.0,0.0,0.23967559243086334,0.0
baseline,11,20096.0,0.0,0.24661257084896537,0.0
baseline,12,19953.0,0.0,0.2525551299370382,0.0
baseline,13,19882.0,0.0,0.2576430170909186,0.0
baseline,14,19732.0,0.0,0.26199732486091054,0.0
baseline,15,19642.0,0.0,0.2657244256958803,0.0
baseline,16,19458.0,0.0,0.2689129873935251,0.0
baseline,17,19489.0,0.0,0.27164032639435837,0.0
baseline,18,19327.0,0.0,0.2739726977736957,0.0
baseline,19,19172.0,0.0,0.27596703827106245,0.0
baseline,20,19110.0,0.0,0.27767131319403016,0.0
baseline,21,19012.0,0.0,0.27912692865059785,0.0
baseline,22,18985.0,0.0,0.2803701661626668,0.0
baseline,23,18832.0,0.0,0.2814315703526533,0.0
baseline,24,18781.0,0.0,0.28233767866921305,0.0
baseline,25,18716.0,0.0,0.283110885051645,0.0
baseline,26,18757.0,0.0,0.2837705987042651,0.0
baseline,27,18657.0,0.0,0.28433333259618704,0.0
baseline,28,18623.0,0.0,0.2848133310694956,0.0
baseline,29,18516.0,0.0,0.28522270219958246,0.0
baseline,30,18463.0,0.0,0.28557184613783937,0.0
baseline,31,18425.0,0.0,0.2858695315716905,0.0
baseline,32,18392.0,0.0,0.2861232749835127,0.0
baseline,33,18308.0,0.0,0.28633956084972356,0.0
baseline,34,18296.0,0.0,0.2865238845443239,0.0
baseline,35,18271.0,0.0,0.28668093544795537,0.0
baseline,36,18238.0,0.0,0.28681472373925204,0.0
baseline,37,18212.0,0.0,0.28692870189699216,0.0
baseline,38,18216.0,0.0,0.2870257862674185,0.0
baseline,39,18125.0,0.0,0.2871084667550438,0.0
baseline,40,18055.0,0.0,0.2871788816367764,0.0
baseline,41,18034.0,0.0,0.2872388520021675,0.0
baseline,42,18028.0,0.0,0.2872899131522477,0.0
baseline,43,18019.0,0.0,0.2873333886204859,0.0
baseline,44,17970.0,0.0,0.28737039626385635,0.0
baseline,45,17933.0,0.0,0.28740189946889116,0.0
baseline,46,17878.0,0.0,0.28742871439914325,0.0
baseline,47,17898.0,0.0,0.28745153675601787,0.0
baseline,48,17892.0,0.0,0.287470960622417,0.0
baseline,49,17829.0,0.0,0.2874874916289561,0.0
baseline,50,17844.0,0.0,0.28750155738093436,0.0
fire_both,0,23228.0,0.0,0.1571666282199154,0.0
fire_both,1,22667.0,0.0,0.15423050275855438,0.0
fire_both,2,22864.0,0.0,0.15182121694281525,0.0
fire_both,3,22663.0,0.0,0.15100251084281768,0.0
fire_both,4,22390.0,0.0,0.15483327713118641,0.0
fire_both,5,21938.0,0.0,0.157777062391561,0.0
fire_both,6,21650.0,0.0,0.16003306572678133,0.0
fire_both,7,21300.0,0.0,0.16177726323269856,0.0
fire_both,8,21119.0,0.0,0.1631370917583519,0.0
fire_both,9,20880.0,0.0,0.21230699607425674,0.0
fire_both,10,20724.0,0.0,0.2507399964071878,0.0
fire_both,11,20516.0,0.0,0.28133519915089045,0.0
fire_both,12,20350.0,0.0,0.3061663091924172,0.0
fire_both,13,20279.0,0.0,0.32673494034670375,0.0
fire_both,14,19722.0,0.0,0.3300431297588708,0.0
fire_both,15,19199.0,0.0,0.3328781588195464,0.0
fire_both,16,18726.0,0.0,0.3353079405796118,0.0
fire_both,17,18281.0,0.0,0.33738893009925747,0.0
fire_both,18,17880.0,0.0,0.33917091013550626,0.0
fire_both,19,17476.0,0.0,0.3406963414307933,0.0
fire_both,20,17174.0,0.0,0.34200116727698326,0.0
fire_both,21,16820.0,0.0,0.34311734312869624,0.0
fire_both,22,16454.0,0.0,0.34407194228828325,0.0
fire_both,23,16107.0,0.0,0.3448879915640648,0.0
fire_both,24,15894.0,0.0,0.3455852715072292,0.0
fire_both,25,15606.0,0.0,0.34618111744822355,0.0
fire_both,26,15295.0,0.0,0.34669014488214245,0.0
fire_both,27,15033.0,0.0,0.34712486303511597,0.0
fire_both,28,14754.0,0.0,0.3474960035659075,0.0
fire_both,29,14580.0,0.0,0.34781276372315,0.0
fire_both,30,14326.0,0.0,0.3480831069785211,0.0
fire_both,31,14129.0,0.0,0.3483137814709661,0.0
fire_both,32,13916.0,0.0,0.3485105782144639,0.0
fire_both,33,13724.0,0.0,0.34867843580447766,0.0
fire_both,34,13553.0,0.0,0.34882158860395995,0.0
fire_both,35,13362.0,0.0,0.3489436589308331,0.0
fire_both,36,13217.0,0.0,0.34904773973329134,0.0
fire_both,37,13088.0,0.0,0.3491364603052874,0.0
fire_both,38,12879.0,0.0,0.3492120752474509,0.0
fire_both,39,12783.0,0.0,0.3492765201421588,0.0
fire_both,40,12677.0,0.0,0.3493314298650911,0.0
fire_both,41,12537.0,0.0,0.34937821739528097,0.0
fire_both,42,12417.0,0.0,0.34941808043684897,0.0
fire_both,43,12269.0,0.0,0.3494520354149791,0.0
fire_both,44,12188.0,0.0,0.3494809538098837,0.0
fire_both,45,12127.0,0.0,0.3495055822310808,0.0
fire_both,46,12005.0,0.0,0.34952655489005974,0.0
fire_both,47,11875.0,0.0,0.3495444144161885,0.0
fire_both,48,11841.0,0.0,0.3495596224210953,0.0
fire_both,49,11740.0,0.0,0.34957256837031747,0.0
fire_both,50,11664.0,0.0,0.3495835899691958,0.0
fire_only,0,11652.0,0.0,0.22435092272202994,0.0
fire_only,1,14076.0,0.0,0.2701341806516724,0.0
fire_only,2,15609.0,0.0,0.3055509645873317,0.0
fire_only,3,15964.0,0.0,0.33344642936507307,0.0
fire_only,4,16049.0,0.0,0.3558430547823735,0.0
fire_only,5,15786.0,0.0,0.3742170102709446,0.0
fire_only,6,15509.0,0.0,0.3896108135984311,0.0
fire_only,7,15210.0,0.0,0.40277145972456974,0.0
fire_only,8,14912.0,0.0,0.41424129909877966,0.0
fire_only,9,14687.0,0.0,0.42440905129942913,0.0
fire_only,10,14468.0,0.0,0.4335611482437915,0.0
fire_only,11,14201.0,0.0,0.4418997101321898,0.0
