elevation,position.longitude,position.x,position.y,invasiveCover,numAlive,numAdult,numSeedling,numJuvenile,fireSeverity,hasFire,position.latitude,canEstablish,newSeedlings,step,replicate
57.80447000000000201680450118146836757659912109375,0.000404694723911609,4.5,28.5,0.04999999999999993338661852249060757458209991455078125,2,2,0,0,21.815628000000000241698216996155679225921630859375,1,0.001936933423131618,1,2,0,0
51.3089709999999996625774656422436237335205078125,0.0035523203543352346,39.5,24.5,0.04999999999999993338661852249060757458209991455078125,1,0,0,1,49.098849999999998772182152606546878814697265625,1,0.00229666206549911,1,0,0,0
65.2458950000000044155967771075665950775146484375,0.0044516419630276985,49.5,31.5,0.04999999999999993338661852249060757458209991455078125,2,2,0,0,7.43507500000000032258640203508548438549041748046875,1,0.0016671369413559988,1,2,0,0
34.28769299999999731198840891011059284210205078125,0.0005845590456501019,6.5,15.5,0.04999999999999993338661852249060757458209991455078125,1,0,0,1,19.296842999999999079818735481239855289459228515625,1,0.0031060515108259678,1,0,0,0
0,0.004541574123896945,50.5,0.5,0.7567999999999999843236508922927895251027224567581532799209753648028708994388580322265625000,2,1,0,1,3.871385000000000076170181273482739925384521484375,1,0.0044550339197040635,0,0,0,0
64.066115999999993846358847804367542266845703125,0.002293270102165784,25.5,33.5,0.04999999999999993338661852249060757458209991455078125,2,2,0,0,94.1943509999999974979800754226744174957275390625,1,0.0014872726201722525,1,2,0,0
41.71024299999999840338205103762447834014892578125,0.0005845590456501019,6.5,20.5,0.04999999999999993338661852249060757458209991455078125,2,2,0,0,35.7780910000000034187905839644372463226318359375,1,0.0026563907078666024,1,2,0,0
57.012191999999998870407580398023128509521484375,0.00418184548041996,46.5,29.5,0.04999999999999993338661852249060757458209991455078125,2,1,0,1,24.536846000000000600493876845575869083404541015625,1,0.001847001262539745,1,1,0,0
85.770972999999997909981175325810909271240234375,0.0037321846760737278,41.5,40.5,0.04999999999999993338661852249060757458209991455078125,2,2,0,0,36.9307519999999982474037096835672855377197265625,1,0.0008577474960291412,1,2,0,0
59.05371900000000096042640507221221923828125,0.003282523871727495,36.5,30.5,0.04999999999999993338661852249060757458209991455078125,2,2,0,0,62.07251000000000118461684905923902988433837890625,1,0.0017570691019478716,1,2,0,0
87.936226000000004887624527327716350555419921875,0.0018436092978195522,20.5,46.5,0.04999999999999993338661852249060757458209991455078125,3,3,0,0,82.5419160000000005084075382910668849945068359375,1,0.00031815453247790293,1,3,0,0
33.90679899999999946658135741017758846282958984375,0.0019335414586887983,21.5,15.5,0.04999999999999993338661852249060757458209991455078125,2,2,0,0,96.324196000000000594809534959495067596435546875,1,0.0031060515108259678,1,2,0,0
11.93518100000000004001776687800884246826171875,0.002383202263035031,26.5,2.5,0.04999999999999993338661852249060757458209991455078125,3,2,1,0,95.514152999999993198798620142042636871337890625,1,0.004275169598520317,1,2,0,0
70.4081039999999944711817079223692417144775390625,0.0034623881934659883,38.5,34.5,0.04999999999999993338661852249060757458209991455078125,4,3,0,1,53.69958100000000200680005946196615695953369140625,1,0.0013973404595803796,1,3,0,0
80.55378699999999980718712322413921356201171875,0.0019335414586887983,21.5,41.5,0.04999999999999993338661852249060757458209991455078125,4,3,0,1,90.675445999999993773599271662533283233642578125,1,0.000767815335437268,1,3,0,0
22.243435000000001622311174287460744380950927734375,0.003822116836942974,42.5,9.5,0.04999999999999993338661852249060757458209991455078125,4,4,0,0,31.15615999999999985448084771633148193359375,1,0.0036456444743772063,1,4,0,0
36.45241200000000247882780968211591243743896484375,0.0004946268847808554,5.5,20.5,0.04999999999999993338661852249060757458209991455078125,1,1,0,0,28.506308000000000646423359285108745098114013671875,1,0.0026563907078666024,1,1,0,0
73.035965000000004465618985705077648162841796875,0.003822116836942974,42.5,35.5,0.04999999999999993338661852249060757458209991455078125,4,1,0,3,39.942576999999999998181010596454143524169921875,1,0.0013074082989885066,1,1,0,0
24.560439999999999827196006663143634796142578125,0.002023473619558045,22.5,10.5,0.04999999999999993338661852249060757458209991455078125,1,1,0,0,90.127082999999998946805135346949100494384765625,1,0.0035557123137853327,1,1,0,0
48.75544699999999664896677131764590740203857421875,0.0011241520108655806,12.5,23.5,0.04999999999999993338661852249060757458209991455078125,3,3,0,0,69.0983120000000070604073698632419109344482421875,1,0.0023865942260909833,1,3,0,0
54.19806700000000176942194229923188686370849609375,0.001034219849996334,11.5,25.5,0.04999999999999993338661852249060757458209991455078125,4,3,0,1,60.6676369999999991478034644387662410736083984375,1,0.002206729904907237,1,3,0,0
71.52836600000000544241629540920257568359375,0.004361709802158453,48.5,36.5,0.04999999999999993338661852249060757458209991455078125,1,1,0,0,13.517931000000000807403921498917043209075927734375,1,0.0012174761383966335,1,1,0,0
7.63481900000000024419932742603123188018798828125,0.0039120489978122204,43.5,4.5,0.04999999999999993338661852249060757458209991455078125,3,3,0,0,17.080805000000001570015228935517370700836181640625,1,0.004095305277336571,1,3,0,0
11.755857999999999918827597866766154766082763671875,0.0044516419630276985,49.5,5.5,0.04999999999999993338661852249060757458209991455078125,2,1,0,1,10.8629429999999995715143086272291839122772216796875,1,0.004005373116744698,1,1,0,0
4.14963899999999963341679176664911210536956787109375,0.0035523203543352346,39.5,3.5,0.04999999999999993338661852249060757458209991455078125,2,1,0,1,30.69054799999999971760189509950578212738037109375,1,0.004185237437928445,1,1,0,0
98.5077509999999989531715982593595981597900390625,0.0005845590456501019,6.5,46.5,0.04999999999999993338661852249060757458209991455078125,3,3,0,0,27.261517000000001331727617071010172367095947265625,1,0.00031815453247790293,1,3,0,0
